t,y
0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,8.187333333333333130e-01
2.000000000000000111e-01,6.703242711111110363e-01
3.000000000000000444e-01,5.488168249010370037e-01
4.000000000000000222e-01,4.493346284406423696e-01
5.000000000000000000e-01,3.678852381253019388e-01
6.000000000000000888e-01,3.011999072944555600e-01
7.000000000000000666e-01,2.466024040988805677e-01
8.000000000000000444e-01,2.019016083158901576e-01
9.000000000000000222e-01,1.653035767818298030e-01
1.000000000000000000e+00,1.353395484305101037e-01
1.100000000000000089e+00,1.108069996183396327e-01
1.200000000000000178e+00,9.072138415418859458e-02
1.300000000000000044e+00,7.427662125317267827e-02
1.400000000000000133e+00,6.081274570734757773e-02
1.500000000000000000e+00,4.978942200212903985e-02
1.600000000000000089e+00,4.076425944054311301e-02
1.700000000000000178e+00,3.337505801262066751e-02
1.800000000000000044e+00,2.732527249686629578e-02
1.900000000000000133e+00,2.237211143560099980e-02
2.000000000000000000e+00,1.831679336937439007e-02
2.100000000000000089e+00,1.499656929128579189e-02
2.200000000000000178e+00,1.227819116441872076e-02
2.300000000000000266e+00,1.005256437934842068e-02
2.400000000000000355e+00,8.230369542851863687e-03
2.500000000000000000e+00,6.738477890384249498e-03
2.600000000000000089e+00,5.517016464787264686e-03
2.700000000000000178e+00,4.516965280270159901e-03
2.800000000000000266e+00,3.698190040466522131e-03
2.900000000000000355e+00,3.027831459131290637e-03
3.000000000000000000e+00,2.478986543306091819e-03
3.100000000000000089e+00,2.029628915889474406e-03
3.200000000000000178e+00,1.661724847735909089e-03
3.300000000000000266e+00,1.360509523669646689e-03
3.400000000000000355e+00,1.113894497345795445e-03
3.500000000000000000e+00,9.119825547935809596e-04
3.600000000000000089e+00,7.466705170279978399e-04
3.700000000000000178e+00,6.113240413080560463e-04
3.800000000000000266e+00,5.005113700869490753e-04
3.900000000000000355e+00,4.097853424025214505e-04
4.000000000000000000e+00,3.355049193363577242e-04
4.100000000000000533e+00,2.746890609579872460e-04
4.200000000000000178e+00,2.248970905083360944e-04
4.299999999999999822e+00,1.841307445688583784e-04
4.400000000000000355e+00,1.507539782700099734e-04
4.500000000000000000e+00,1.234273071422661654e-04
4.600000000000000533e+00,1.010540506009447245e-04
4.700000000000000178e+00,8.273631969534680337e-05
4.800000000000000711e+00,6.773898281190360478e-05
4.900000000000000355e+00,5.546016319419921008e-05
5.000000000000000000e+00,4.540708427919736418e-05
5.100000000000000533e+00,3.717629346885485334e-05
5.200000000000000178e+00,3.043747067273376249e-05
5.300000000000000711e+00,2.492017182212289043e-05
5.400000000000000355e+00,2.040297534316608047e-05
5.500000000000000000e+00,1.670459601262817536e-05
5.600000000000000533e+00,1.367660957540577469e-05
5.700000000000000178e+00,1.119749614637055419e-05
5.800000000000000711e+00,9.167763344905118799e-06
5.900000000000000355e+00,7.505953442585317654e-06
6.000000000000000000e+00,6.145374281892685319e-06
6.100000000000000533e+00,5.031422770394937610e-06
6.200000000000000178e+00,4.119393536214681512e-06
6.300000000000000711e+00,3.372684801216833388e-06
6.400000000000000355e+00,2.761329469582928707e-06
6.500000000000000000e+00,2.260792481063196450e-06
6.600000000000000533e+00,1.850986163995807757e-06
6.700000000000000178e+00,1.515464072002167604e-06
6.800000000000000711e+00,1.240760951217241461e-06
6.900000000000000355e+00,1.015852349459929499e-06
7.000000000000000000e+00,8.317121802478263235e-07
7.100000000000000533e+00,6.809504857082370485e-07
7.200000000000000178e+00,5.575168609988572738e-07
7.300000000000000711e+00,4.564576379951310500e-07
7.400000000000000355e+00,3.737170834812136520e-07
7.500000000000000000e+00,3.059746334821856853e-07
7.600000000000000533e+00,2.505116315863148015e-07
7.700000000000000178e+00,2.051022231674354585e-07
7.800000000000000711e+00,1.679240268479516641e-07
7.900000000000000355e+00,1.374849982479796248e-07
8.000000000000000000e+00,1.125635508988958582e-07
8.099999999999999645e+00,9.215953123928932762e-08
8.200000000000001066e+00,7.545408020998081186e-08
8.300000000000000711e+00,6.177677060391828927e-08
8.400000000000000355e+00,5.057870131911469958e-08
8.500000000000000000e+00,4.141046872666983861e-08
8.599999999999999645e+00,3.390413109548215537e-08
8.700000000000001066e+00,2.775844226557442359e-08
8.800000000000000711e+00,2.272676196423463188e-08
8.900000000000000355e+00,1.860715757885103295e-08
9.000000000000000000e+00,1.523430014839130396e-08
9.099999999999999645e+00,1.247282934149290693e-08
9.200000000000001066e+00,1.021192114285829256e-08
9.300000000000000711e+00,8.360840237029512615e-09
9.400000000000000355e+00,6.845298596730629320e-09
9.500000000000000000e+00,5.604474137763257322e-09
9.600000000000001421e+00,4.588569792391370984e-09
9.700000000000001066e+00,3.756815041357228116e-09
9.800000000000000711e+00,3.075829701527207873e-09
9.900000000000000355e+00,2.518284304297042643e-09
1.000000000000000000e+01,2.061803302738131890e-09
